Date,Price,Open,High,Low,Vol.,Change %
02/22/2024,91.6,91.1,91.6,90.9,180.10K,0.55%
02/21/2024,91.1,91,91.4,90.6,255.22K,0.11%
02/20/2024,91,91.1,91.5,90.3,128.71K,0.00%
02/19/2024,91,90,91.5,89.6,434.43K,1.22%
02/16/2024,89.9,89,90,89,169.15K,0.45%
02/15/2024,89.5,88.6,89.5,88.4,1.20M,1.02%
02/14/2024,88.6,89,89,88.5,25.95K,-1.01%
02/13/2024,89.5,89.9,89.9,88.8,803.45K,0.00%
02/12/2024,89.5,89.7,89.9,89.3,47.95K,0.00%
02/09/2024,89.5,89.5,89.5,88.8,154.75K,0.00%
02/08/2024,89.5,89,89.7,88.9,106.11K,0.56%
02/07/2024,89,88,89,88,98.73K,1.48%
02/06/2024,87.7,88.5,88.5,87.5,485.25K,-0.34%
02/02/2024,88,89,89,87.9,93.54K,-1.12%
02/01/2024,89,87,89,86.1,572.07K,2.18%
01/31/2024,87.1,86.7,87.1,86,70.96K,0.00%
01/30/2024,87.1,88.4,88.4,87,45.56K,-1.02%
01/29/2024,88,87.5,88.7,87.4,69.14K,0.23%
01/26/2024,87.8,87.9,88,87.7,225.11K,0.11%
01/24/2024,87.7,87.8,88,87.5,82.34K,0.00%
01/23/2024,87.7,88.5,88.5,87.5,4.76K,-0.11%
01/22/2024,87.8,89.3,89.3,87.5,268.52K,-1.90%
01/19/2024,89.5,88,89.8,88,29.06K,0.90%
01/18/2024,88.7,89.1,89.8,88,34.07K,-1.44%
01/17/2024,90,91.3,91.3,90,77.54K,-1.10%
01/16/2024,91,91.4,91.5,90.6,365.11K,-0.55%
01/12/2024,91.5,92.1,92.4,91.2,150.62K,-0.33%
01/11/2024,91.8,93.3,93.3,91.8,526.80K,-1.61%
01/10/2024,93.3,94.3,94.7,93,132.18K,-0.85%
01/09/2024,94.1,95,95,94,19.42K,-0.95%
01/08/2024,95,95.2,95.5,94,351.58K,-1.04%
01/05/2024,96,96.2,96.2,95,238.33K,0.42%
01/04/2024,95.6,96,96,95.2,377.34K,-0.42%
01/03/2024,96,96,97.5,95.7,218.63K,-0.83%
01/02/2024,96.8,95.5,98,94.5,120.59K,1.36%
12/29/2023,95.5,94.5,95.6,94.5,383.94K,1.06%
12/28/2023,94.5,93.1,94.5,92.9,645.80K,1.50%
12/27/2023,93.1,92.4,94,91.7,78.87K,0.11%
12/22/2023,93,92.8,93.5,92.6,120.09K,0.00%
12/21/2023,93,93.7,94.2,93,82.58K,-0.75%
12/20/2023,93.7,93.6,94,93.4,118.87K,0.00%
12/19/2023,93.7,93.4,94.1,93.4,290.80K,-0.32%
12/18/2023,94,93.5,94.1,93.4,491.47K,0.00%
12/15/2023,94,93.9,94.5,93,304.92K,0.21%
12/14/2023,93.8,94,94.9,93,96.11K,-0.64%
12/13/2023,94.4,95.4,95.4,93.1,273.41K,-0.74%
12/12/2023,95.1,94.8,95.1,94.3,362.55K,0.63%
12/11/2023,94.5,94,94.5,93.7,350.02K,0.53%
12/08/2023,94,92,94,92,235.42K,2.96%
12/07/2023,91.3,90,92,90,207.03K,1.44%
12/06/2023,90,90,90.4,89.5,220.57K,0.00%
12/05/2023,90,91,91.5,89.1,212.11K,-1.10%
12/04/2023,91,90.8,92.5,90.2,92.56K,1.11%
12/01/2023,90,87.9,90.1,87.9,355.31K,3.45%
11/30/2023,87,86,88,86,279.19K,1.40%
11/29/2023,85.8,85.5,86,85.3,274.89K,0.35%
11/28/2023,85.5,85.4,85.5,84.5,67.10K,0.00%
11/27/2023,85.5,85,85.5,85,300.51K,0.59%
11/24/2023,85,85.5,86,84.5,120.31K,0.00%
11/23/2023,85,85.2,85.5,84,212.76K,1.80%
11/22/2023,83.5,82.7,85,82.7,415.56K,-0.60%
11/21/2023,84,83.4,84.5,83,252.34K,1.33%
11/20/2023,82.9,85,85,82.9,142.71K,-2.47%
11/17/2023,85,85.5,85.5,83.8,253.39K,0.59%
11/16/2023,84.5,84.5,85.9,82.5,97.82K,-0.59%
11/15/2023,85,86.5,86.5,83,48.85K,-1.16%
11/14/2023,86,87.4,87.7,85,67.95K,-1.04%
11/13/2023,86.9,86.2,87.5,85.5,85.24K,1.28%
11/10/2023,85.8,86.7,87,85.5,835.45K,-0.81%
11/09/2023,86.5,88,88,86,709.20K,-0.57%
11/08/2023,87,85,88.9,85,440.09K,2.35%
11/07/2023,85,84.9,86,84,202.30K,0.00%
11/06/2023,85,84.4,85.9,83.9,40.55K,1.19%
11/03/2023,84,84.9,85.4,84,70.64K,-0.36%
11/02/2023,84.3,83.5,86,83.5,304.89K,0.36%
11/01/2023,84,83.3,84.2,82.5,70.04K,2.31%
10/31/2023,82.1,82.5,83.2,81.6,44.77K,-1.08%
10/30/2023,83,83.5,83.5,82,27.14K,0.00%
10/27/2023,83,81.5,83.9,81,140.89K,1.22%
10/26/2023,82,82.5,84,81,44.13K,-0.85%
10/25/2023,82.7,84.9,84.9,82.6,7.10K,-2.71%
10/24/2023,85,87.3,87.5,84.5,53.45K,-2.19%
10/23/2023,86.9,86.8,88.8,86.5,266.26K,-0.11%
10/20/2023,87,81.7,87.3,81.7,162.19K,6.10%
10/19/2023,82,80.1,82.5,80,271.91K,1.86%
10/18/2023,80.5,80,80.8,80,186.43K,-0.25%
10/17/2023,80.7,80.3,82.9,80.3,249.13K,0.50%
10/16/2023,80.3,84,84,80.3,291.61K,-4.40%
10/13/2023,84,84.5,85,84,47.24K,0.00%
10/12/2023,84,83.5,85,82.6,63.82K,0.60%
10/11/2023,83.5,84.9,85.9,83,270.14K,-1.65%
10/10/2023,84.9,85,86.9,84,252.89K,-0.12%
10/09/2023,85,86.3,87,83.5,341.68K,-1.51%
10/06/2023,86.3,88,88,86.1,24.33K,-1.37%
10/05/2023,87.5,87.8,88.8,86.5,69.60K,-0.34%
10/04/2023,87.8,87.1,87.8,86.1,96.82K,0.69%
10/03/2023,87.2,88,89.9,87.2,59.18K,-1.80%
10/02/2023,88.8,90,90,87.8,100.35K,-1.55%
09/27/2023,90.2,89,91.1,88.9,141.20K,1.58%
09/26/2023,88.8,88.5,89,87.8,135.26K,0.91%
09/25/2023,88,89.5,90,88,45.41K,-1.12%
09/22/2023,89,88,90.2,87.6,66.03K,0.11%
09/21/2023,88.9,89.9,89.9,87.6,52.48K,-0.11%
09/20/2023,89,88.5,89.5,88,643.82K,1.14%
09/19/2023,88,90,90,87,197.49K,-2.22%
09/18/2023,90,92.5,92.5,89.5,183.64K,-1.64%
09/15/2023,91.5,93,93,91,130.68K,-0.87%
09/14/2023,92.3,91,93,91,73.64K,1.43%
09/13/2023,91,91,92,90.1,547.37K,1.00%
09/12/2023,90.1,92,92,90,189.70K,-1.96%
09/11/2023,91.9,92.8,92.9,90.4,61.36K,-0.97%
09/08/2023,92.8,92.1,93,92.1,132.26K,0.32%
09/07/2023,92.5,93,93,90.1,135.45K,0.54%
09/06/2023,92,95,95.4,92,283.19K,-3.26%
09/05/2023,95.1,93.5,96,93.3,1.45M,1.93%
09/04/2023,93.3,90,93.9,89.9,583.70K,3.67%
09/01/2023,90,86.5,90,86.5,277.33K,4.05%
08/31/2023,86.5,87.4,87.9,86.5,47.45K,-0.69%
08/29/2023,87.1,87,87.1,86.4,200.70K,0.11%
08/28/2023,87,87.3,87.5,86.5,844.34K,1.16%
08/25/2023,86,89.6,89.6,80,294.31K,-3.91%
08/24/2023,89.5,93.5,93.5,89.5,423.96K,-4.38%
08/23/2023,93.6,90,94,89.5,1.71M,4.00%
08/22/2023,90,91.1,91.4,89.3,383.29K,-1.53%
08/21/2023,91.4,93.5,95,91.4,713.07K,-2.25%
08/18/2023,93.5,96,96,93.1,258.05K,-2.81%
08/17/2023,96.2,97.3,97.3,95,378.22K,-0.52%
08/16/2023,96.7,93,97,92.5,1.96M,3.98%
08/15/2023,93,95,96.9,92.6,347.08K,-4.12%
08/14/2023,97,102,102,95,424.24K,-6.28%
08/11/2023,103.5,105.5,105.5,102.25,189.38K,-1.19%
08/10/2023,104.75,105,107.5,104.5,511.69K,0.72%
08/09/2023,104,105,105,103.25,459.28K,-1.89%
08/08/2023,106,103.5,106.75,101,1.73M,1.92%
08/07/2023,104,100,105,99,1.49M,2.97%
08/04/2023,101,100,101.75,100,1.63M,2.02%
08/03/2023,99,96,100.75,95.9,2.88M,3.56%
08/02/2023,95.6,93,97,92.1,1.66M,2.25%
07/31/2023,93.5,93,93.6,92,451.75K,0.97%
07/28/2023,92.6,92.6,94.2,92,806.60K,0.22%
07/27/2023,92.4,87.6,93,87.6,940.61K,4.17%
07/26/2023,88.7,88.7,89.4,88,262.16K,0.45%
07/25/2023,88.3,88.2,89.7,87.6,1.04M,-0.23%
07/24/2023,88.5,87.6,90.6,87.6,973.67K,0.57%
07/21/2023,88,88,89,87.5,308.23K,0.00%
07/20/2023,88,88,89.1,87.5,671.28K,-1.68%
07/19/2023,89.5,87,89.7,85.7,1.30M,2.76%
07/18/2023,87.1,85,87.5,84.7,1.56M,2.96%
07/17/2023,84.6,80.5,86,80.4,2.53M,5.09%
07/14/2023,80.5,80,81,79,302.12K,1.90%
07/13/2023,79,81,81,78,874.79K,-1.86%
07/12/2023,80.5,77.4,80.9,77.4,1.16M,3.87%
07/11/2023,77.5,78.7,78.7,77.5,170.85K,-0.64%
07/10/2023,78,79.5,79.8,78,217.19K,-1.89%
07/07/2023,79.5,79.5,80,78.1,395.79K,-0.50%
07/06/2023,79.9,81.3,81.5,78,604.13K,-1.36%
07/05/2023,81,83,83,80.1,4.74M,0.12%
07/04/2023,80.9,75.5,81.7,75.5,7.95M,19.85%
06/28/2023,67.5,67.5,69.5,66,616.58K,0.00%
06/27/2023,67.5,68.5,69,67.1,369.89K,-2.88%
06/26/2023,69.5,66,69.9,63.1,1.16M,5.30%
06/23/2023,66,66,67.8,66,458.08K,-0.15%
06/22/2023,66.1,66.4,67,66,187.84K,-0.30%
06/21/2023,66.3,64.9,66.5,64.1,1.30M,2.16%
06/20/2023,64.9,64,65,63.5,112.61K,0.46%
06/19/2023,64.6,64,65,64,197.23K,-1.22%
06/16/2023,65.4,66,67.8,65,104.66K,-0.91%
06/15/2023,66,67,67,64,519.90K,-1.49%
06/14/2023,67,61.1,67,61,165.04K,9.84%
06/13/2023,61,61.8,61.9,60.3,73.48K,-1.29%
06/12/2023,61.8,59.1,61.9,59.1,93.11K,6.37%
06/09/2023,58.1,58.1,60.3,58.1,95.85K,-0.68%
06/08/2023,58.5,57.2,59,57.2,13.04K,2.09%
06/07/2023,57.3,58.1,58.6,56.7,5.10K,-0.35%
06/06/2023,57.5,58,58.1,57.3,219.53K,-1.03%
06/05/2023,58.1,58.8,59,57,27.75K,-1.19%
06/02/2023,58.8,57.3,59,57.3,51.20K,3.16%
06/01/2023,57,56.7,58.7,56.7,83.04K,0.53%
05/31/2023,56.7,58,58,56.6,4.44K,-0.35%
05/30/2023,56.9,57.3,57.3,56.6,14.36K,-0.70%
05/29/2023,57.3,59,59,57,27.59K,-3.70%
05/26/2023,59.5,56.2,59.5,56,90.92K,1.88%
05/25/2023,58.4,58.5,58.5,57,149.25K,-0.68%
05/24/2023,58.8,55.5,58.9,55.5,174.05K,1.38%
05/23/2023,58,57,58,55,124.02K,5.45%
05/22/2023,55,57,57,55,278.30K,-2.65%
05/19/2023,56.5,57,57,55.2,234.67K,-2.59%
05/18/2023,58,57.6,58,56.5,276.17K,0.87%
05/17/2023,57.5,58,58.4,56.1,317.00K,-1.03%
05/16/2023,58.1,58,59,57,1.39M,-1.53%
05/15/2023,59,58.4,59.9,58,244.46K,-1.67%
05/12/2023,60,60.2,60.2,59,194.82K,-0.33%
05/11/2023,60.2,57.5,61.6,56,391.61K,5.06%
05/10/2023,57.3,57,57.3,56,17.84K,-0.17%
05/09/2023,57.4,57,58,56.6,108.62K,-0.69%
05/08/2023,57.8,53.8,57.8,53.8,70.48K,7.04%
05/04/2023,54,53,56,53,117.57K,0.19%
05/03/2023,53.9,54,54.2,52.1,32.46K,0.75%
05/02/2023,53.5,56,56.1,53.5,122.31K,-5.48%
04/28/2023,56.6,57,57,56.5,80.22K,-0.70%
04/27/2023,57,58,58,56.7,32.34K,-2.56%
04/26/2023,58.5,57.8,58.9,57.6,136.03K,-0.51%
04/25/2023,58.8,58,59.4,57.8,66.47K,1.38%
04/24/2023,58,60,60,58,69.08K,-3.49%
04/21/2023,60.1,60.1,60.4,59,201.43K,0.00%
04/20/2023,60.1,60,60.5,60,100.91K,-0.17%
04/19/2023,60.2,61,61,60,35.85K,-3.37%
04/18/2023,62.3,64,64,60,57.96K,-1.11%
04/17/2023,63,64,64,62.5,14.52K,0.00%
04/12/2023,63,63.5,64,62,37.02K,0.00%
04/11/2023,63,62.5,63.3,62,83.42K,0.80%
04/10/2023,62.5,62,63.8,60.5,7.98K,-0.48%
04/06/2023,62.8,62,63,60.5,57.39K,0.96%
04/04/2023,62.2,62,62.9,60.4,37.56K,-1.11%
04/03/2023,62.9,63.1,63.1,60.3,104.59K,-0.16%
03/31/2023,63,63.6,65,62.5,82.42K,1.53%
03/30/2023,62.05,63.65,63.65,61.86,40.56K,-2.67%
03/29/2023,63.75,62.33,63.75,61.67,49.93K,3.21%
03/28/2023,61.77,63.28,64.69,61.67,203.42K,-0.46%
03/27/2023,62.05,63.28,63.28,61.58,285.12K,-0.61%
